Lat,Lon
37.1,-120.81
37.1,-118.25
37.06,-122.25
37.06,-122.13
37.06,-122.05
37.06,-122.01
37.06,-121.61
37.06,-121.57
37.06,-121.53
37.06,-120.89
37.06,-120.85
37.06,-120.81
37.06,-119.77
37.02,-121.89
37.02,-121.65
37.02,-121.61
37.02,-121.57
37.02,-121.53
37.02,-120.13
36.98,-122.05
36.98,-122.01
36.98,-121.97
36.98,-121.93
36.98,-121.89
36.98,-121.77
36.98,-121.57
36.98,-121.53
36.98,-120.09
36.98,-120.05
36.98,-119.65
36.94,-121.81
36.94,-121.77
36.94,-121.73
36.94,-121.41
36.94,-120.85
36.94,-120.61
36.94,-120.09
36.94,-120.05
36.94,-119.73
36.9,-121.77
36.9,-121.73
36.9,-121.69
36.9,-121.65
36.9,-121.61
36.9,-121.45
36.9,-120.81
36.9,-119.77
36.86,-121.77
36.86,-121.73
36.86,-121.69
36.86,-121.65
36.86,-121.61
36.86,-121.41
36.86,-121.37
36.86,-119.77
36.86,-119.73
36.82,-121.73
36.82,-121.65
36.82,-121.37
36.82,-119.89
36.82,-119.85
36.82,-119.81
36.82,-119.77
36.82,-119.69
36.78,-121.65
36.78,-119.97
36.78,-119.89
36.78,-119.85
36.78,-119.81
36.78,-119.77
36.78,-119.73
36.78,-119.69
36.74,-121.69
36.74,-121.37
36.74,-119.81
36.74,-119.77
36.74,-119.73
36.74,-119.69
36.7,-121.69
36.7,-121.65
36.7,-121.61
36.7,-119.89
36.7,-119.77
36.7,-119.73
36.7,-119.57
36.66,-121.81
36.66,-121.77
36.66,-121.73
36.66,-121.65
36.66,-121.61
36.66,-120.17
36.62,-121.93
36.62,-121.85
36.62,-121.81
36.62,-121.77
36.62,-121.65
36.62,-119.69
36.62,-119.33
36.62,-118.81
36.58,-121.97
36.58,-121.93
36.58,-121.85
36.58,-121.53
36.58,-119.61
36.58,-119.45
36.54,-121.93
36.54,-121.41
36.54,-119.85
36.54,-119.41
36.54,-119.29
36.5,-121.93
36.42,-119.09
36.38,-119.81
36.34,-121.89
36.34,-119.65
36.34,-119.41
36.34,-119.37
36.34,-119.33
36.34,-119.29
36.34,-119.25
36.3,-121.09
36.3,-119.81
36.3,-119.77
36.3,-119.33
36.3,-119.29
36.3,-119.21
36.3,-119.13
36.26,-120.25
36.26,-119.65
36.22,-121.17
36.22,-121.13
36.22,-120.29
36.22,-119.37
36.22,-119.33
36.22,-119.09
36.18,-120.41
36.18,-120.37
36.18,-120.21
36.18,-119.33
36.18,-119.09
36.14,-121.01
36.14,-120.37
36.14,-120.21
36.14,-119.05
36.1,-120.97
36.1,-119.57
36.1,-119.05
36.1,-118.85
36.06,-119.05
36.06,-119.01
36.06,-118.97
36.02,-120.93
36.02,-120.05
35.98,-121.49
35.94,-121.13
35.94,-120.85
35.94,-120.09
35.94,-120.01
35.94,-119.93
35.9,-121.09
35.86,-120.81
35.78,-121.33
35.78,-120.81
35.78,-120.73
35.78,-120.69
35.78,-120.21
35.78,-120.13
35.78,-119.25
35.74,-120.69
35.74,-120.25
35.74,-120.21
35.7,-120.69
35.7,-119.33
35.7,-119.17
35.7,-117.61
35.66,-120.57
35.66,-120.49
35.66,-120.45
35.66,-120.37
35.66,-119.73
35.66,-119.33
35.66,-119.09
35.62,-120.69
35.62,-120.65
35.62,-119.33
35.62,-118.41
35.62,-117.69
35.62,-117.65
35.58,-120.69
35.58,-119.69
35.54,-121.01
35.54,-120.73
35.54,-120.61
35.54,-120.53
35.54,-119.09
35.54,-117.93
35.5,-120.69
35.5,-120.65
35.5,-119.77
35.5,-119.69
35.5,-119.29
35.5,-119.17
35.46,-120.97
35.46,-120.73
35.46,-120.69
35.46,-120.65
35.46,-119.05
35.46,-118.97
35.42,-120.85
35.42,-119.13
35.42,-119.09
35.42,-119.05
35.42,-119.01
35.42,-118.85
35.38,-120.85
35.38,-119.37
35.38,-119.17
35.38,-119.13
35.38,-119.09
35.38,-119.05
35.38,-119.01
35.38,-118.97
35.38,-118.93
35.38,-118.85
35.38,-117.65
35.34,-120.69
35.34,-119.13
35.34,-119.09
35.34,-119.05
35.34,-119.01
35.34,-118.93
35.34,-118.85
35.3,-120.85
35.3,-119.85
